data_source,speaker,absolute_path,relative_path,label,Set,npy_path
11lab,11lab,/home/jupyter/Data/11Lab/b5e5cbb1-c9ab-43b8-a184-c10abac78749.wav,b5e5cbb1-c9ab-43b8-a184-c10abac78749.wav,0,test,/home/jupyter/npy/11lab/b5e5cbb1-c9ab-43b8-a184-c10abac78749.npy
11lab,11lab,/home/jupyter/Data/11Lab/323caf3a-ba85-494a-aded-fab8fdad753b.wav,323caf3a-ba85-494a-aded-fab8fdad753b.wav,0,test,/home/jupyter/npy/11lab/323caf3a-ba85-494a-aded-fab8fdad753b.npy
11lab,11lab,/home/jupyter/Data/11Lab/ffbc5a1f-f02a-423e-a715-c08d25c3c318.wav,ffbc5a1f-f02a-423e-a715-c08d25c3c318.wav,0,test,/home/jupyter/npy/11lab/ffbc5a1f-f02a-423e-a715-c08d25c3c318.npy
11lab,11lab,/home/jupyter/Data/11Lab/bd905f66-c686-4e75-81c4-31c659699d21.wav,bd905f66-c686-4e75-81c4-31c659699d21.wav,0,test,/home/jupyter/npy/11lab/bd905f66-c686-4e75-81c4-31c659699d21.npy
11lab,11lab,/home/jupyter/Data/11Lab/bff13de6-3816-4b8a-9497-678c199a447e.wav,bff13de6-3816-4b8a-9497-678c199a447e.wav,0,test,/home/jupyter/npy/11lab/bff13de6-3816-4b8a-9497-678c199a447e.npy
11lab,11lab,/home/jupyter/Data/11Lab/ab9fdc72-befe-4996-81fb-97e408a5c3b4.wav,ab9fdc72-befe-4996-81fb-97e408a5c3b4.wav,0,test,/home/jupyter/npy/11lab/ab9fdc72-befe-4996-81fb-97e408a5c3b4.npy
11lab,11lab,/home/jupyter/Data/11Lab/030e03d9-499d-4542-b847-e5a081823862.wav,030e03d9-499d-4542-b847-e5a081823862.wav,0,test,/home/jupyter/npy/11lab/030e03d9-499d-4542-b847-e5a081823862.npy
11lab,11lab,/home/jupyter/Data/11Lab/a4db6b00-ab81-4f1e-9927-095f2befcf42.wav,a4db6b00-ab81-4f1e-9927-095f2befcf42.wav,0,test,/home/jupyter/npy/11lab/a4db6b00-ab81-4f1e-9927-095f2befcf42.npy
11lab,11lab,/home/jupyter/Data/11Lab/5ee6a277-9f3d-4fe6-b165-14f7cae851b8.wav,5ee6a277-9f3d-4fe6-b165-14f7cae851b8.wav,0,test,/home/jupyter/npy/11lab/5ee6a277-9f3d-4fe6-b165-14f7cae851b8.npy
11lab,11lab,/home/jupyter/Data/11Lab/19319e14-d46f-4eac-8ae3-263b09c46473.wav,19319e14-d46f-4eac-8ae3-263b09c46473.wav,0,test,/home/jupyter/npy/11lab/19319e14-d46f-4eac-8ae3-263b09c46473.npy
11lab,11lab,/home/jupyter/Data/11Lab/2efed6f1-98a9-4285-90cc-993af556b1f0.wav,2efed6f1-98a9-4285-90cc-993af556b1f0.wav,0,test,/home/jupyter/npy/11lab/2efed6f1-98a9-4285-90cc-993af556b1f0.npy
11lab,11lab,/home/jupyter/Data/11Lab/9f88b493-6fb2-4007-b4e1-fdadb009acd4.wav,9f88b493-6fb2-4007-b4e1-fdadb009acd4.wav,0,test,/home/jupyter/npy/11lab/9f88b493-6fb2-4007-b4e1-fdadb009acd4.npy
11lab,11lab,/home/jupyter/Data/11Lab/4c14eab1-8105-4862-98f9-deb216912695.wav,4c14eab1-8105-4862-98f9-deb216912695.wav,0,test,/home/jupyter/npy/11lab/4c14eab1-8105-4862-98f9-deb216912695.npy
11lab,11lab,/home/jupyter/Data/11Lab/69a17381-e61f-4b93-b5c0-aef9187222a3.wav,69a17381-e61f-4b93-b5c0-aef9187222a3.wav,0,test,/home/jupyter/npy/11lab/69a17381-e61f-4b93-b5c0-aef9187222a3.npy
11lab,11lab,/home/jupyter/Data/11Lab/54b1fca3-42a9-4ba3-9c3a-169048a464db.wav,54b1fca3-42a9-4ba3-9c3a-169048a464db.wav,0,test,/home/jupyter/npy/11lab/54b1fca3-42a9-4ba3-9c3a-169048a464db.npy
11lab,11lab,/home/jupyter/Data/11Lab/8d9ea3fa-f9d1-463e-a07c-9435330e6e32.wav,8d9ea3fa-f9d1-463e-a07c-9435330e6e32.wav,0,test,/home/jupyter/npy/11lab/8d9ea3fa-f9d1-463e-a07c-9435330e6e32.npy
11lab,11lab,/home/jupyter/Data/11Lab/0f787f28-007d-466e-b66c-5b99568d6f5f.wav,0f787f28-007d-466e-b66c-5b99568d6f5f.wav,0,test,/home/jupyter/npy/11lab/0f787f28-007d-466e-b66c-5b99568d6f5f.npy
11lab,11lab,/home/jupyter/Data/11Lab/f9fdb6c5-5b2a-4c48-9cf8-bbbb41313c59.wav,f9fdb6c5-5b2a-4c48-9cf8-bbbb41313c59.wav,0,test,/home/jupyter/npy/11lab/f9fdb6c5-5b2a-4c48-9cf8-bbbb41313c59.npy
11lab,11lab,/home/jupyter/Data/11Lab/b88f83d0-f891-4836-bcb0-fc93e2d45858.wav,b88f83d0-f891-4836-bcb0-fc93e2d45858.wav,0,test,/home/jupyter/npy/11lab/b88f83d0-f891-4836-bcb0-fc93e2d45858.npy
11lab,11lab,/home/jupyter/Data/11Lab/7ebda968-085d-4468-8a07-500241c7e3cb.wav,7ebda968-085d-4468-8a07-500241c7e3cb.wav,0,test,/home/jupyter/npy/11lab/7ebda968-085d-4468-8a07-500241c7e3cb.npy
11lab,11lab,/home/jupyter/Data/11Lab/d3473c32-8f97-4ba2-bf00-2dab4e7ffb18.wav,d3473c32-8f97-4ba2-bf00-2dab4e7ffb18.wav,0,test,/home/jupyter/npy/11lab/d3473c32-8f97-4ba2-bf00-2dab4e7ffb18.npy
11lab,11lab,/home/jupyter/Data/11Lab/fd275234-8b73-44a7-87ee-4f7b8a9e82bf.wav,fd275234-8b73-44a7-87ee-4f7b8a9e82bf.wav,0,test,/home/jupyter/npy/11lab/fd275234-8b73-44a7-87ee-4f7b8a9e82bf.npy
11lab,11lab,/home/jupyter/Data/11Lab/4071adb8-e06f-4f39-8e68-5b2eda185810.wav,4071adb8-e06f-4f39-8e68-5b2eda185810.wav,0,test,/home/jupyter/npy/11lab/4071adb8-e06f-4f39-8e68-5b2eda185810.npy
11lab,11lab,/home/jupyter/Data/11Lab/ff0e8664-1f1c-4d44-9896-6d5141a3cc01.wav,ff0e8664-1f1c-4d44-9896-6d5141a3cc01.wav,0,test,/home/jupyter/npy/11lab/ff0e8664-1f1c-4d44-9896-6d5141a3cc01.npy
11lab,11lab,/home/jupyter/Data/11Lab/ca409757-224d-4b01-ab21-de5e0773e951.wav,ca409757-224d-4b01-ab21-de5e0773e951.wav,0,test,/home/jupyter/npy/11lab/ca409757-224d-4b01-ab21-de5e0773e951.npy
11lab,11lab,/home/jupyter/Data/11Lab/4e59009d-8e2c-41ae-9149-15f548d3eab6.wav,4e59009d-8e2c-41ae-9149-15f548d3eab6.wav,0,test,/home/jupyter/npy/11lab/4e59009d-8e2c-41ae-9149-15f548d3eab6.npy
11lab,11lab,/home/jupyter/Data/11Lab/24f5b114-02d9-4e61-872e-ed650ec6bdfc.wav,24f5b114-02d9-4e61-872e-ed650ec6bdfc.wav,0,test,/home/jupyter/npy/11lab/24f5b114-02d9-4e61-872e-ed650ec6bdfc.npy
11lab,11lab,/home/jupyter/Data/11Lab/5bc561f9-4df7-4f6f-b087-f722560e02dc.wav,5bc561f9-4df7-4f6f-b087-f722560e02dc.wav,0,test,/home/jupyter/npy/11lab/5bc561f9-4df7-4f6f-b087-f722560e02dc.npy
11lab,11lab,/home/jupyter/Data/11Lab/a788ae72-3628-461d-9dab-e05c8df5b022.wav,a788ae72-3628-461d-9dab-e05c8df5b022.wav,0,test,/home/jupyter/npy/11lab/a788ae72-3628-461d-9dab-e05c8df5b022.npy
11lab,11lab,/home/jupyter/Data/11Lab/7751e420-a91b-4c5c-af29-e2ca568f2159.wav,7751e420-a91b-4c5c-af29-e2ca568f2159.wav,0,test,/home/jupyter/npy/11lab/7751e420-a91b-4c5c-af29-e2ca568f2159.npy
11lab,11lab,/home/jupyter/Data/11Lab/c001e83f-bd4d-43cb-818b-7abf6b6c7e11.wav,c001e83f-bd4d-43cb-818b-7abf6b6c7e11.wav,0,test,/home/jupyter/npy/11lab/c001e83f-bd4d-43cb-818b-7abf6b6c7e11.npy
11lab,11lab,/home/jupyter/Data/11Lab/fc16655b-71cc-4a8e-b9d1-ff647df089ee.wav,fc16655b-71cc-4a8e-b9d1-ff647df089ee.wav,0,test,/home/jupyter/npy/11lab/fc16655b-71cc-4a8e-b9d1-ff647df089ee.npy
11lab,11lab,/home/jupyter/Data/11Lab/120fd1b2-661b-40dd-96d0-9a29869b6e5e.wav,120fd1b2-661b-40dd-96d0-9a29869b6e5e.wav,0,test,/home/jupyter/npy/11lab/120fd1b2-661b-40dd-96d0-9a29869b6e5e.npy
11lab,11lab,/home/jupyter/Data/11Lab/f3f3c996-529f-4217-ba7b-fb319d779d7f.wav,f3f3c996-529f-4217-ba7b-fb319d779d7f.wav,0,test,/home/jupyter/npy/11lab/f3f3c996-529f-4217-ba7b-fb319d779d7f.npy
11lab,11lab,/home/jupyter/Data/11Lab/9ffddf31-fd0c-48cb-b232-b6678e52009b.wav,9ffddf31-fd0c-48cb-b232-b6678e52009b.wav,0,test,/home/jupyter/npy/11lab/9ffddf31-fd0c-48cb-b232-b6678e52009b.npy
11lab,11lab,/home/jupyter/Data/11Lab/17e52094-ac1d-4bba-a793-9c5e80817f8b.wav,17e52094-ac1d-4bba-a793-9c5e80817f8b.wav,0,test,/home/jupyter/npy/11lab/17e52094-ac1d-4bba-a793-9c5e80817f8b.npy
11lab,11lab,/home/jupyter/Data/11Lab/0deae925-4ad0-4471-8e69-b9d521b9ae4e.wav,0deae925-4ad0-4471-8e69-b9d521b9ae4e.wav,0,test,/home/jupyter/npy/11lab/0deae925-4ad0-4471-8e69-b9d521b9ae4e.npy
11lab,11lab,/home/jupyter/Data/11Lab/b895d9ce-d445-4dc8-a703-22899cb1d516.wav,b895d9ce-d445-4dc8-a703-22899cb1d516.wav,0,test,/home/jupyter/npy/11lab/b895d9ce-d445-4dc8-a703-22899cb1d516.npy
11lab,11lab,/home/jupyter/Data/11Lab/59657a86-d3df-47d2-9c1e-609acbc94dc2.wav,59657a86-d3df-47d2-9c1e-609acbc94dc2.wav,0,test,/home/jupyter/npy/11lab/59657a86-d3df-47d2-9c1e-609acbc94dc2.npy
11lab,11lab,/home/jupyter/Data/11Lab/5a825c6a-3916-44e6-9ba2-802efa8bcffa.wav,5a825c6a-3916-44e6-9ba2-802efa8bcffa.wav,0,test,/home/jupyter/npy/11lab/5a825c6a-3916-44e6-9ba2-802efa8bcffa.npy
11lab,11lab,/home/jupyter/Data/11Lab/8abd8f80-6139-4163-8f12-fd4a6c538e37.wav,8abd8f80-6139-4163-8f12-fd4a6c538e37.wav,0,test,/home/jupyter/npy/11lab/8abd8f80-6139-4163-8f12-fd4a6c538e37.npy
11lab,11lab,/home/jupyter/Data/11Lab/38be4fc8-65bf-4f38-a82e-ac0b4be14049.wav,38be4fc8-65bf-4f38-a82e-ac0b4be14049.wav,0,test,/home/jupyter/npy/11lab/38be4fc8-65bf-4f38-a82e-ac0b4be14049.npy
11lab,11lab,/home/jupyter/Data/11Lab/a98bbd2c-14ba-4320-ad8e-26218d6572b0.wav,a98bbd2c-14ba-4320-ad8e-26218d6572b0.wav,0,test,/home/jupyter/npy/11lab/a98bbd2c-14ba-4320-ad8e-26218d6572b0.npy
11lab,11lab,/home/jupyter/Data/11Lab/a10fa827-b9ef-4ce2-9e3f-3c653d348619.wav,a10fa827-b9ef-4ce2-9e3f-3c653d348619.wav,0,test,/home/jupyter/npy/11lab/a10fa827-b9ef-4ce2-9e3f-3c653d348619.npy
11lab,11lab,/home/jupyter/Data/11Lab/9bee748f-1d16-47a7-9d5b-692f080278e6.wav,9bee748f-1d16-47a7-9d5b-692f080278e6.wav,0,test,/home/jupyter/npy/11lab/9bee748f-1d16-47a7-9d5b-692f080278e6.npy
11lab,11lab,/home/jupyter/Data/11Lab/98e4f1c9-375c-4863-8d2c-a503c9021124.wav,98e4f1c9-375c-4863-8d2c-a503c9021124.wav,0,test,/home/jupyter/npy/11lab/98e4f1c9-375c-4863-8d2c-a503c9021124.npy
11lab,11lab,/home/jupyter/Data/11Lab/43ff16af-ba1d-4ba4-a498-2f21596a1c7a.wav,43ff16af-ba1d-4ba4-a498-2f21596a1c7a.wav,0,test,/home/jupyter/npy/11lab/43ff16af-ba1d-4ba4-a498-2f21596a1c7a.npy
11lab,11lab,/home/jupyter/Data/11Lab/339dc083-f51f-4ea0-8613-1cf43709c4b5.wav,339dc083-f51f-4ea0-8613-1cf43709c4b5.wav,0,test,/home/jupyter/npy/11lab/339dc083-f51f-4ea0-8613-1cf43709c4b5.npy
11lab,11lab,/home/jupyter/Data/11Lab/f5b28ff1-a740-4120-a3ca-93acbca841d6.wav,f5b28ff1-a740-4120-a3ca-93acbca841d6.wav,0,test,/home/jupyter/npy/11lab/f5b28ff1-a740-4120-a3ca-93acbca841d6.npy
11lab,11lab,/home/jupyter/Data/11Lab/a6415117-b1bc-4155-b373-ce8fdfa7d7e8.wav,a6415117-b1bc-4155-b373-ce8fdfa7d7e8.wav,0,test,/home/jupyter/npy/11lab/a6415117-b1bc-4155-b373-ce8fdfa7d7e8.npy
11lab,11lab,/home/jupyter/Data/11Lab/0e37e2a2-1870-4da1-b409-2d137fe96495.wav,0e37e2a2-1870-4da1-b409-2d137fe96495.wav,0,test,/home/jupyter/npy/11lab/0e37e2a2-1870-4da1-b409-2d137fe96495.npy
11lab,11lab,/home/jupyter/Data/11Lab/5ad7969e-48fb-4895-a476-a67e82d6dfa9.wav,5ad7969e-48fb-4895-a476-a67e82d6dfa9.wav,0,test,/home/jupyter/npy/11lab/5ad7969e-48fb-4895-a476-a67e82d6dfa9.npy
11lab,11lab,/home/jupyter/Data/11Lab/db8e11f7-afb3-4171-8d0c-397580bbd640.wav,db8e11f7-afb3-4171-8d0c-397580bbd640.wav,0,test,/home/jupyter/npy/11lab/db8e11f7-afb3-4171-8d0c-397580bbd640.npy
11lab,11lab,/home/jupyter/Data/11Lab/ad1da13a-e775-4219-916f-2c749f9750a6.wav,ad1da13a-e775-4219-916f-2c749f9750a6.wav,0,test,/home/jupyter/npy/11lab/ad1da13a-e775-4219-916f-2c749f9750a6.npy
11lab,11lab,/home/jupyter/Data/11Lab/81cfd9f8-2f70-4b50-a99e-5643c4e65f21.wav,81cfd9f8-2f70-4b50-a99e-5643c4e65f21.wav,0,test,/home/jupyter/npy/11lab/81cfd9f8-2f70-4b50-a99e-5643c4e65f21.npy
11lab,11lab,/home/jupyter/Data/11Lab/e98c66a5-e443-4492-be70-a01ca79d0cf6.wav,e98c66a5-e443-4492-be70-a01ca79d0cf6.wav,0,test,/home/jupyter/npy/11lab/e98c66a5-e443-4492-be70-a01ca79d0cf6.npy
11lab,11lab,/home/jupyter/Data/11Lab/ee7847a0-6aee-42cd-965e-20859071dcb6.wav,ee7847a0-6aee-42cd-965e-20859071dcb6.wav,0,test,/home/jupyter/npy/11lab/ee7847a0-6aee-42cd-965e-20859071dcb6.npy
11lab,11lab,/home/jupyter/Data/11Lab/55e08628-e1c5-4f00-be34-4e71efd08f1a.wav,55e08628-e1c5-4f00-be34-4e71efd08f1a.wav,0,test,/home/jupyter/npy/11lab/55e08628-e1c5-4f00-be34-4e71efd08f1a.npy
11lab,11lab,/home/jupyter/Data/11Lab/293ad9c9-a2ca-4f35-a222-4a5e011e65d0.wav,293ad9c9-a2ca-4f35-a222-4a5e011e65d0.wav,0,test,/home/jupyter/npy/11lab/293ad9c9-a2ca-4f35-a222-4a5e011e65d0.npy
11lab,11lab,/home/jupyter/Data/11Lab/56b8afb0-f494-4bf2-9388-86033e345e8d.wav,56b8afb0-f494-4bf2-9388-86033e345e8d.wav,0,test,/home/jupyter/npy/11lab/56b8afb0-f494-4bf2-9388-86033e345e8d.npy
11lab,11lab,/home/jupyter/Data/11Lab/781f772b-50bf-464b-97ac-59f49bd8e054.wav,781f772b-50bf-464b-97ac-59f49bd8e054.wav,0,test,/home/jupyter/npy/11lab/781f772b-50bf-464b-97ac-59f49bd8e054.npy
11lab,11lab,/home/jupyter/Data/11Lab/773859eb-cd1d-457a-8fcb-cb3a63180250.wav,773859eb-cd1d-457a-8fcb-cb3a63180250.wav,0,test,/home/jupyter/npy/11lab/773859eb-cd1d-457a-8fcb-cb3a63180250.npy
11lab,11lab,/home/jupyter/Data/11Lab/842c402f-2ad5-436f-acfb-b6c73170eec0.wav,842c402f-2ad5-436f-acfb-b6c73170eec0.wav,0,test,/home/jupyter/npy/11lab/842c402f-2ad5-436f-acfb-b6c73170eec0.npy
11lab,11lab,/home/jupyter/Data/11Lab/51c9ded0-e301-44e3-9a7f-2b6123e9904d.wav,51c9ded0-e301-44e3-9a7f-2b6123e9904d.wav,0,test,/home/jupyter/npy/11lab/51c9ded0-e301-44e3-9a7f-2b6123e9904d.npy
11lab,11lab,/home/jupyter/Data/11Lab/a5abc5e6-96a4-445a-a0e8-5cac8f80701a.wav,a5abc5e6-96a4-445a-a0e8-5cac8f80701a.wav,0,test,/home/jupyter/npy/11lab/a5abc5e6-96a4-445a-a0e8-5cac8f80701a.npy
11lab,11lab,/home/jupyter/Data/11Lab/072aec28-ae9e-467a-90f1-c3ec7c4b7f51.wav,072aec28-ae9e-467a-90f1-c3ec7c4b7f51.wav,0,test,/home/jupyter/npy/11lab/072aec28-ae9e-467a-90f1-c3ec7c4b7f51.npy
11lab,11lab,/home/jupyter/Data/11Lab/8a286f0b-e5fd-423e-8193-a49ce13ee096.wav,8a286f0b-e5fd-423e-8193-a49ce13ee096.wav,0,test,/home/jupyter/npy/11lab/8a286f0b-e5fd-423e-8193-a49ce13ee096.npy
11lab,11lab,/home/jupyter/Data/11Lab/7f071f47-d714-4b85-9819-8087db0344ca.wav,7f071f47-d714-4b85-9819-8087db0344ca.wav,0,test,/home/jupyter/npy/11lab/7f071f47-d714-4b85-9819-8087db0344ca.npy
11lab,11lab,/home/jupyter/Data/11Lab/55b56a21-2530-4785-8a4d-72c5cc94de52.wav,55b56a21-2530-4785-8a4d-72c5cc94de52.wav,0,test,/home/jupyter/npy/11lab/55b56a21-2530-4785-8a4d-72c5cc94de52.npy
11lab,11lab,/home/jupyter/Data/11Lab/31997ea3-cc04-4426-8b21-fd8c12a1863d.wav,31997ea3-cc04-4426-8b21-fd8c12a1863d.wav,0,test,/home/jupyter/npy/11lab/31997ea3-cc04-4426-8b21-fd8c12a1863d.npy
11lab,11lab,/home/jupyter/Data/11Lab/cb7f0541-7822-48da-881e-b1893386e54d.wav,cb7f0541-7822-48da-881e-b1893386e54d.wav,0,test,/home/jupyter/npy/11lab/cb7f0541-7822-48da-881e-b1893386e54d.npy
11lab,11lab,/home/jupyter/Data/11Lab/d73278e5-a3ad-49b2-a2b0-b01f1f5b8b6d.wav,d73278e5-a3ad-49b2-a2b0-b01f1f5b8b6d.wav,0,test,/home/jupyter/npy/11lab/d73278e5-a3ad-49b2-a2b0-b01f1f5b8b6d.npy
11lab,11lab,/home/jupyter/Data/11Lab/608a9132-ae4d-455a-89e0-b2db045c6096.wav,608a9132-ae4d-455a-89e0-b2db045c6096.wav,0,test,/home/jupyter/npy/11lab/608a9132-ae4d-455a-89e0-b2db045c6096.npy
11lab,11lab,/home/jupyter/Data/11Lab/7f837aec-0b0b-48a9-acc2-e2d4772cc121.wav,7f837aec-0b0b-48a9-acc2-e2d4772cc121.wav,0,test,/home/jupyter/npy/11lab/7f837aec-0b0b-48a9-acc2-e2d4772cc121.npy
11lab,11lab,/home/jupyter/Data/11Lab/705711f6-ca62-4e64-96c0-89f7bba247eb.wav,705711f6-ca62-4e64-96c0-89f7bba247eb.wav,0,test,/home/jupyter/npy/11lab/705711f6-ca62-4e64-96c0-89f7bba247eb.npy
11lab,11lab,/home/jupyter/Data/11Lab/193e7ac2-5664-48d1-8031-fe4323688a15.wav,193e7ac2-5664-48d1-8031-fe4323688a15.wav,0,test,/home/jupyter/npy/11lab/193e7ac2-5664-48d1-8031-fe4323688a15.npy
11lab,11lab,/home/jupyter/Data/11Lab/a762b7c7-80f7-41f9-9e9f-c76d0f875ee7.wav,a762b7c7-80f7-41f9-9e9f-c76d0f875ee7.wav,0,test,/home/jupyter/npy/11lab/a762b7c7-80f7-41f9-9e9f-c76d0f875ee7.npy
11lab,11lab,/home/jupyter/Data/11Lab/cc3e29de-2fb0-4cee-8637-edbf96b85f5f.wav,cc3e29de-2fb0-4cee-8637-edbf96b85f5f.wav,0,test,/home/jupyter/npy/11lab/cc3e29de-2fb0-4cee-8637-edbf96b85f5f.npy
11lab,11lab,/home/jupyter/Data/11Lab/83f8bcf0-e7bb-4072-a7ef-7cc732a26021.wav,83f8bcf0-e7bb-4072-a7ef-7cc732a26021.wav,0,test,/home/jupyter/npy/11lab/83f8bcf0-e7bb-4072-a7ef-7cc732a26021.npy
11lab,11lab,/home/jupyter/Data/11Lab/137c44be-197b-45e4-bc34-5b991877baa6.wav,137c44be-197b-45e4-bc34-5b991877baa6.wav,0,test,/home/jupyter/npy/11lab/137c44be-197b-45e4-bc34-5b991877baa6.npy
11lab,11lab,/home/jupyter/Data/11Lab/c5990edd-8173-4ddb-91d3-f7d02ef049dc.wav,c5990edd-8173-4ddb-91d3-f7d02ef049dc.wav,0,test,/home/jupyter/npy/11lab/c5990edd-8173-4ddb-91d3-f7d02ef049dc.npy
11lab,11lab,/home/jupyter/Data/11Lab/c3935a8a-32ef-4bb8-b3be-da60833a8a8e.wav,c3935a8a-32ef-4bb8-b3be-da60833a8a8e.wav,0,test,/home/jupyter/npy/11lab/c3935a8a-32ef-4bb8-b3be-da60833a8a8e.npy
11lab,11lab,/home/jupyter/Data/11Lab/11adddee-89ba-402b-a9e3-39835f6570a6.wav,11adddee-89ba-402b-a9e3-39835f6570a6.wav,0,test,/home/jupyter/npy/11lab/11adddee-89ba-402b-a9e3-39835f6570a6.npy
11lab,11lab,/home/jupyter/Data/11Lab/22de6d96-dbb6-4655-86d6-b805f3359c51.wav,22de6d96-dbb6-4655-86d6-b805f3359c51.wav,0,test,/home/jupyter/npy/11lab/22de6d96-dbb6-4655-86d6-b805f3359c51.npy
11lab,11lab,/home/jupyter/Data/11Lab/12c99c49-2637-4feb-8870-3c7045b6b34c.wav,12c99c49-2637-4feb-8870-3c7045b6b34c.wav,0,test,/home/jupyter/npy/11lab/12c99c49-2637-4feb-8870-3c7045b6b34c.npy
11lab,11lab,/home/jupyter/Data/11Lab/d845c135-8d9f-4815-bfe0-5e00639e3c52.wav,d845c135-8d9f-4815-bfe0-5e00639e3c52.wav,0,test,/home/jupyter/npy/11lab/d845c135-8d9f-4815-bfe0-5e00639e3c52.npy
11lab,11lab,/home/jupyter/Data/11Lab/0b0e390b-c369-4cf4-91bb-3700685ed3e0.wav,0b0e390b-c369-4cf4-91bb-3700685ed3e0.wav,0,test,/home/jupyter/npy/11lab/0b0e390b-c369-4cf4-91bb-3700685ed3e0.npy
11lab,11lab,/home/jupyter/Data/11Lab/178b528d-503f-461b-987f-52f608380bd2.wav,178b528d-503f-461b-987f-52f608380bd2.wav,0,test,/home/jupyter/npy/11lab/178b528d-503f-461b-987f-52f608380bd2.npy
11lab,11lab,/home/jupyter/Data/11Lab/1e945b06-7778-4c2b-9c79-f097dd0d6acd.wav,1e945b06-7778-4c2b-9c79-f097dd0d6acd.wav,0,test,/home/jupyter/npy/11lab/1e945b06-7778-4c2b-9c79-f097dd0d6acd.npy
11lab,11lab,/home/jupyter/Data/11Lab/c0aa98b2-ad74-45cf-b80c-dd6d968ec720.wav,c0aa98b2-ad74-45cf-b80c-dd6d968ec720.wav,0,test,/home/jupyter/npy/11lab/c0aa98b2-ad74-45cf-b80c-dd6d968ec720.npy
